21/10/2024;10.1;24.8
22/10/2024;12;24.5
23/10/2024;15.1;20.3
24/10/2024;13.4;22.7
25/10/2024;11;22.4
26/10/2024;11.9;16.6
27/10/2024;9.9;18.6
28/10/2024;9.2;22
29/10/2024;8.7;21.3
30/10/2024;8;19.2
31/10/2024;7.3;18.8
01/11/2024;6.8;19.4
02/11/2024;5.4;19.3
03/11/2024;4.8;17.7
04/11/2024;4.7;17.3
05/11/2024;6.1;14.7
06/11/2024;8.9;16.4
07/11/2024;8.6;16.5
08/11/2024;7.7;16.9
09/11/2024;7.9;16
10/11/2024;4.3;14.5
11/11/2024;8.4;10.5
12/11/2024;6.2;8.5
13/11/2024;3.4;9.7
14/11/2024;5.1;9.2
15/11/2024;1.7;11.2
16/11/2024;-1.5;11.4
17/11/2024;-0.7;13.7
18/11/2024;5.8;12.7
19/11/2024;2.2;11.2
20/11/2024;3.3;10.8
21/11/2024;0.5;14.7
22/11/2024;1.7;5.4
23/11/2024;-2.7;13.1
24/11/2024;3.8;19.1
25/11/2024;15.1;21.1
26/11/2024;6.9;12.1
27/11/2024;3.8;12.7
28/11/2024;3.6;12.3
29/11/2024;5.2;10.8
30/11/2024;2.7;9.2
01/12/2024;-2;8.8
02/12/2024;1.7;11.3
03/12/2024;6.5;9.7
04/12/2024;0.2;9.3
05/12/2024;-1.3;7.7
06/12/2024;4.9;12.4
07/12/2024;1.8;7.2
08/12/2024;2.9;5.1
09/12/2024;3.2;6.5
10/12/2024;3.6;5.4
11/12/2024;1.3;6.9
12/12/2024;0.3;7.1
13/12/2024;-2.8;4.9
14/12/2024;2.2;5.1
15/12/2024;3.2;8
16/12/2024;-0.8;8.6
17/12/2024;-1.7;8.8
18/12/2024;0.4;10.4
19/12/2024;1.4;8.8
20/12/2024;0.8;6.8
21/12/2024;-2.4;6.6
22/12/2024;1.1;10.1
23/12/2024;0.4;3.2
24/12/2024;0.9;6.9
25/12/2024;-1.9;6.1
26/12/2024;-3.8;5.1
27/12/2024;-2.5;1.9
28/12/2024;-1.9;1.7
29/12/2024;-4;3.3
30/12/2024;-2.3;0.3
31/12/2024;-3.1;4.4
